LAT,LONG,OBJECTID,PROVINCE,DISTRICT,SECTOR,CELL,VILLAGE,NAME,TYPE,SOURCE,CAPTURE
-2.545111111,29.703722222,854,SOUTH,HUYE,MBAZI,RUGANGO,KAMUNYINYA,GROUPE SCOLAIRE RUGANGO,Secondary,Ministry of education,2015
-2.52675,29.707777778,855,SOUTH,HUYE,MBAZI,RUSAGARA,RUHUHA,ECOLE PRIMAIRE RUSAGARA,Secondary,Ministry of education,2015
-2.664027778,29.689138889,856,SOUTH,HUYE,GISHAMVU,NYUMBA,GASYANKINGI,GROUPE SCOLAIRE NYUMBA,Secondary,Ministry of education,2015
-2.6225,29.701305556,857,SOUTH,HUYE,GISHAMVU,RYAKIBOGO,KADAHOKWA,GROUPE SCOLAIRE VUMBI,Secondary,Ministry of education,2015
-2.478916667,29.768138889,858,SOUTH,HUYE,RUSATIRA,KIRUHURA,RUBONA,GS KOTANA,Secondary,Ministry of education,2015
-2.596833334,29.748361111,859,SOUTH,HUYE,NGOMA,BUTARE,BUYE,ECOLE AUTONOME DE BUTARE,Secondary,Ministry of education,2015
-2.606361111,29.741527778,860,SOUTH,HUYE,NGOMA,BUTARE,KABUTARE,GS BUTARE CATHOLIQUE,Secondary,Ministry of education,2015
-2.598861111,29.747611111,861,SOUTH,HUYE,NGOMA,BUTARE,BUYE,GROUPE SCOLAIRE ELENA GUERRA,Secondary,Ministry of education,2015
-2.520666666,29.665083333,862,SOUTH,HUYE,SIMBI,MUGOBORE,MUGOBORE,GS SIMBI,Secondary,Ministry of education,2015
-2.485111111,29.683527778,863,SOUTH,HUYE,SIMBI,GISAKURA,GASHARU,GS GISAKURA,Secondary,Ministry of education,2015
-2.516666666,29.708,864,SOUTH,HUYE,SIMBI,KABUSANZA,KABUSANZA,GS KABUSANZA,Secondary,Ministry of education,2015
-2.610611111,29.643333333,865,SOUTH,HUYE,KARAMA,GAHORORO,UMUYANGE,GROUPE SCOLAIRE KARAMA SAINT BONIFACE,Secondary,Ministry of education,2015
-2.545611111,29.754944445,866,SOUTH,HUYE,MBAZI,MWULIRE,BUMBOGO,GROUPE SCOLAIRE MWULIRE,Secondary,Ministry of education,2015
-2.537083333,29.732583334,867,SOUTH,HUYE,MBAZI,RUGANDO,KIBIRARO,GROUPE SCOLAIRE MUTUNDA,Secondary,Ministry of education,2015
-2.462638889,29.813527778,868,SOUTH,HUYE,RUSATIRA,GAFUMBA,RUVUGIZO,GS GAFUMBA,Secondary,Ministry of education,2015
-2.443444445,29.768694444,869,SOUTH,HUYE,RUSATIRA,BUHIMBA,MUCUNDA,GS BUHIMBA,Secondary,Ministry of education,2015
-2.527527778,29.629833333,870,SOUTH,HUYE,MARABA,KABUYE,GASHARU,GROUPE SCOLAIRE KABUYE,Secondary,Ministry of education,2015
-2.514833334,29.602388889,871,SOUTH,HUYE,MARABA,GASUMBA,TABA,GROUPE SCOLAIRE  MUGANO,Secondary,Ministry of education,2015
-2.521361111,29.597277778,872,SOUTH,HUYE,MARABA,GASUMBA,GITWA,ECOLE SECONDAIRE GASUMBA,Secondary,Ministry of education,2015
